Class,CRNN,BEATs,WavLM,CRNN + BEATs,CRNN + WavLM,CRNN + BEATs + WavLM
Alarm_bell_ringing,21.07%,36.01%,21.03%,36.75%,16.89%,34.33%
Blender,43.10%,50.38%,46.18%,68.89%,44.24%,71.99%
Dishes,28.57%,45.91%,40.24%,50.53%,38.30%,48.74%
Cat,29.86%,42.97%,24.98%,46.79%,27.47%,36.18%
Speech,46.86%,59.62%,54.22%,62.38%,53.63%,60.19%
Electric_shaver_toothbrush,48.35%,62.58%,47.88%,65.67%,48.03%,68.20%
